City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,San Antonio,US,29.4241,-98.4936,76.98,85,20,9.22,few clouds
251,Mandalgovi,MN,45.7625,106.2708,59.07,17,3,8.72,clear sky
252,Baft,IR,29.234,56.6057,80.28,6,0,13.67,clear sky
253,Baykit,RU,61.67,96.37,56.08,78,93,3.31,overcast clouds
254,Bubaque,GW,11.2833,-15.8333,79.65,81,32,7.61,scattered clouds
255,Pitimbu,BR,-7.4706,-34.8086,84.79,75,33,11.25,scattered clouds
256,Nueve De Julio,AR,-35.4444,-60.8831,54.39,65,87,17.2,overcast clouds
257,Kendari,ID,-3.945,122.4989,77.92,91,100,2.57,overcast clouds
258,Mehamn,NO,71.0357,27.8492,35.51,75,100,21.16,overcast clouds
259,Hasaki,JP,35.7333,140.8333,57.6,92,100,20.07,moderate rain
260,Nipawin,CA,53.3668,-104.0009,37.44,93,0,9.22,clear sky
261,Petatlan,MX,17.5167,-101.2667,69.6,33,30,3.31,scattered clouds
262,Nantucket,US,41.2835,-70.0995,56.14,95,100,9.22,fog
263,Araguacu,BR,-12.9306,-49.8264,89.89,45,23,3.42,few clouds
264,Talnakh,RU,69.4865,88.3972,41.29,87,100,7.83,overcast clouds
265,Svetlyy,RU,54.675,20.1347,59.05,63,96,11.88,overcast clouds
266,Havelock,US,34.8791,-76.9013,78.75,85,40,16.11,scattered clouds
267,Itanhem,BR,-17.1664,-40.33,84.54,55,78,5.32,broken clouds
268,Kamenka,RU,51.3223,42.7678,54.68,66,51,15.3,light rain
269,Hovd,MN,48.0056,91.6419,60.87,33,100,9.62,overcast clouds
270,Namibe,AO,-15.1961,12.1522,75.83,64,0,13.8,clear sky
271,Dubbo,AU,-32.25,148.6167,48.33,93,10,3.44,clear sky
272,Naze,JP,28.3667,129.4833,59.92,90,100,10.71,light rain
273,Abu Samrah,SY,35.3029,37.1841,78.78,34,100,13.78,overcast clouds
274,Priekule,LV,56.4468,21.5897,51.12,40,3,13.85,clear sky
275,Saldanha,ZA,-33.0117,17.9442,91.45,29,8,15.26,clear sky
276,Walvis Bay,NA,-22.9575,14.5053,79.75,36,0,6.91,clear sky
277,Hamilton,US,39.1834,-84.5333,63.07,87,100,13.8,overcast clouds
278,Arlit,NE,18.7369,7.3853,104.04,6,4,7.72,clear sky
279,Sri Aman,MY,1.2376,111.4621,78.85,94,100,0.0,light rain
280,Khatanga,RU,71.9667,102.5,29.66,91,97,10.31,overcast clouds
281,Port Hueneme,US,34.1478,-119.1951,58.95,90,100,3.44,haze
282,Atambua,ID,-9.1061,124.8925,72.82,86,5,3.8,clear sky
283,Sinnamary,GF,5.3833,-52.95,82.2,81,100,9.6,overcast clouds
284,Castrillon,ES,43.3979,-6.7922,75.87,43,81,2.33,broken clouds
285,Babu,CN,24.4167,111.5167,61.3,91,10,2.73,clear sky
286,Berbera,SO,10.4396,45.0143,91.15,49,0,6.4,clear sky
287,Poronaysk,RU,49.2167,143.1167,41.72,75,97,9.89,overcast clouds
288,Launceston,AU,-41.45,147.1667,47.8,79,75,14.97,broken clouds
289,Kavieng,PG,-2.5744,150.7967,81.68,75,45,8.12,scattered clouds
290,Evensk,RU,61.95,159.2333,36.3,90,100,5.57,overcast clouds
291,Ashland,US,40.8167,-82.2665,56.16,97,100,10.22,light rain
292,Vanimo,PG,-2.6741,141.3028,80.11,84,62,4.14,broken clouds
293,Camacha,PT,33.0833,-16.3333,69.22,68,20,6.91,few clouds
294,Radhanpur,IN,23.8333,71.6,94.59,30,0,14.92,clear sky
295,Zyryanka,RU,65.75,150.85,35.82,91,3,10.56,clear sky
296,Shelburne,CA,44.0787,-80.2041,51.24,81,100,8.48,overcast clouds
297,Calama,CL,-22.4667,-68.9333,50.49,18,0,17.27,clear sky
298,Cidreira,BR,-30.1811,-50.2056,55.69,60,0,17.11,clear sky
299,Comonfort,MX,20.7167,-100.7667,65.21,37,13,4.34,few clouds
300,Jinja,UG,0.439,33.2032,76.84,60,18,8.05,few clouds
301,Kieta,PG,-6.2167,155.6333,78.37,83,12,3.09,light rain
302,Ambulu,ID,-8.345,113.6058,77.59,86,45,2.24,scattered clouds
303,Adrar,MR,20.5022,-10.0711,106.66,6,11,18.32,few clouds
304,Del Rio,US,29.3627,-100.8968,75.31,66,0,8.05,clear sky
305,Poum,NC,-20.2333,164.0167,76.44,78,30,18.54,scattered clouds
306,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,76.8,94,75,3.44,broken clouds
307,Vila,PT,42.0304,-8.1588,59.88,84,100,7.61,overcast clouds
308,Tilichiki,RU,60.4667,166.1,32.94,98,100,4.99,overcast clouds
309,Nishihara,JP,26.1842,127.7558,64.06,94,75,11.5,light rain
310,Geraldton,AU,-28.7667,114.6,55.81,88,0,5.75,clear sky
311,Trapani,IT,37.8333,12.6667,81.28,53,0,13.8,clear sky
312,Pangnirtung,CA,66.1451,-65.7125,19.4,86,20,3.44,few clouds
313,Kinsale,IE,51.7075,-8.5306,64.24,77,75,18.41,broken clouds
314,Navrongo,GH,10.8956,-1.0921,102.36,26,52,5.59,broken clouds
315,Emerald,AU,-23.5333,148.1667,73.35,77,95,10.71,overcast clouds
316,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,64,100,6.87,overcast clouds
317,Hollister,US,36.8525,-121.4016,55.4,87,100,0.0,overcast clouds
318,Setermoen,NO,68.861,18.3486,38.43,76,100,1.99,overcast clouds
319,Impfondo,CG,1.6381,18.0667,86.79,56,99,1.28,overcast clouds
320,Oranjestad,AW,12.524,-70.027,84.15,74,75,26.46,broken clouds
321,Ginda,IN,30.6945,78.4932,73.11,28,100,6.76,overcast clouds
322,Cockburn Town,TC,21.4612,-71.1419,79.29,84,62,18.25,broken clouds
323,Chara,RU,56.9064,118.2631,34.93,86,100,4.18,overcast clouds
324,Klaksvik,FO,62.2266,-6.589,52.72,91,57,22.84,broken clouds
325,Mikhaylovka,RU,50.06,43.2379,58.69,57,26,15.59,light rain
326,Jacareacanga,BR,-6.2222,-57.7528,85.21,69,100,2.04,overcast clouds
327,Niquelandia,BR,-14.4739,-48.4597,90.39,37,1,2.53,clear sky
328,Gravdal,NO,68.1214,13.5031,39.09,60,75,12.66,broken clouds
329,Morgan City,US,29.6994,-91.2068,78.03,80,66,8.28,broken clouds
330,Leningradskiy,RU,69.3833,178.4167,12.04,95,40,6.85,scattered clouds
331,Dunmore Town,BS,25.5,-76.65,78.08,78,100,7.4,overcast clouds
332,Todos Santos,MX,23.45,-110.2167,71.26,57,98,3.76,overcast clouds
